,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4 Expected Annual Damage,A.4 Expected Number of Deaths,Total Infrastructure Costs,Total Expected Annual Damage,Total Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,4,0,0,1,0,0,2,0,0,4185255.822441114,0.00032990200518328536,135802735.00849408,30559778.753226846,0.004074074031800072
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,3,0,0,3,0,0,0.0,0.0,150306216.08149666,10286263.945318524,0.001444555180931272
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,2,0,0,3,0,0,1957086.7092000153,0.00016322550091653467,144160604.71280807,13258659.31746235,0.0017969433259637257
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,0,0,4,0,0,4,0,0,5,0,0,0.0,0.0,163389027.58207893,0.0,0.0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,0,0,0,2,0,0,15650110.585220492,0.0011854179117320842,134055228.41856156,34562459.7167548,0.003848744976427524
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,3,0,0,3,0,0,0.0,0.0,145281932.18989435,11301572.608262334,0.001633717825047191
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,3,0,0,2,0,0,2,0,0,666396.9824960144,5.468864869599901e-05,134608667.82740456,31378479.032933533,0.004967859612761112
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,3429525.633172264,0.0002879594403156523,149184888.60441038,7719509.719525954,0.0009143475394427645
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,4,0,0,3,0,0,2,0,0,0.0,0.0,137935342.39543587,26374522.930785734,0.0037441720266167865
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,3,0,0,4,0,0,0.0,0.0,153331806.59631377,4289984.08635369,0.0006263880991271122
