,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4 Expected Annual Damage,A.4 Expected Number of Deaths,Total Infrastructure Costs,Total Expected Annual Damage,Total Expected Number of Deaths
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,3,0,0,3,0,0,0.0,0.0,150306216.08149666,3352975.913592141,0.00048688239370705297
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,3,0,0,2,0,0,0.0,0.0,142508636.1151696,15953234.986483317,0.0022683255416630593
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,0,0,0,2,0,0,14606536.42467061,0.0011054854330031642,139079512.31016386,19992023.877188608,0.0018672625962191337
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0.0,0.0,148100868.99055162,9703126.158310378,0.00220315953552842
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,3,0,0,2,0,0,3,0,0,4148823.846230882,0.0003428630527586576,146979541.51346534,13851950.00454126,0.0025460225882870773
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,0,0,4,0,0,3,0,0,4,0,0,286403.17387373943,2.4715960006466154e-05,158847680.63342455,286403.17387373943,2.4715960006466154e-05
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,3,0,0,3,0,0,0.0,0.0,145281932.18989435,13920723.44755746,0.0019934307721541427
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,3,0,0,2,0,0,2,0,0,0.0,0.0,134608667.82740456,25251329.20976664,0.003565414022176811
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0.0,0.0,140303289.02422458,22303385.23120155,0.0039846026834844265
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0.0,0.0,160089468.29898155,0.0,0.0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,4148823.846230882,0.0003428630527586576,149184888.60441038,7501799.759823023,0.0008297454464657105
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,2,0,0,3,0,0,993443.3354570458,8.255092237196361e-05,144160604.71280807,14914166.783014506,0.0020759816945261065
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,3,0,0,2,0,0,2,0,0,993443.3354570458,8.255092237196361e-05,139181961.54713827,23296828.566658597,0.00406715360585639
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,2,0,0,2,0,0,993443.3354570458,8.255092237196361e-05,141387308.63808334,16946678.321940362,0.002350876464035023
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4863753.381255714,0.0003409987310670814,37255203.23710208,162389251.42173412,0.03336502288583806
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,3,0,0,1,0,0,2,0,0,2967841.1224142383,0.00023598813324527133,133597387.91754901,28219170.33218088,0.0038014021554220825
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,1,0,0,2,0,0,7309565.06692923,0.0005884455909698156,145400312.61983013,12695052.519447226,0.001350222754185785
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4863753.381255714,0.0003409987310670814,54862719.29296569,91287225.8995244,0.011516004682574405
18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0,1645658.3807605652,0.00012971079350706027,124022051.71322732,35960402.23707566,0.004872109361909536
19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0.0,0.0,125033331.62308285,34314743.85631509,0.004742398568402475
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0.0,0.0,90781035.8317458,54207702.81332569,0.0074963078691474665
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4863753.381255714,0.0003409987310670814,84460235.52207956,59071456.194581404,0.007837306600214549
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,43576003.54676832,157525498.0404784,0.03302402415477097
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.0,0.0,65743821.745572075,64713385.43311347,0.008886022371123275
24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1645658.3807605652,0.00012971079350706027,121481035.8317458,47811140.864456944,0.006458521938199672
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4863753.381255714,0.0003409987310670814,59423021.43590583,69577138.81436919,0.009227021102190357
26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,11696402.656455778,0.0008395490843973562,117701251.40356107,46011146.51277087,0.005581947652799832
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4863753.381255714,0.0003409987310670814,32694901.094161935,184099338.50688934,0.03565400646622211
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,63875291.174089015,76133219.9052778,0.011904997938633526
