,Unnamed: 0,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,A.4 Expected Annual Damage,A.4 Expected Number of Deaths,Total Infrastructure Costs,Total Expected Annual Damage,Total Expected Number of Deaths
0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,4,0,0,4,0,0,4,0,0,0.0,0.0,160089468.29898155,0.0,0.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,3,0,0,3,0,0,0.0,0.0,150306216.08149666,3352975.913592141,0.00048688239370705297
2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,2,0,0,3,0,0,993443.3354570458,8.255092237196361e-05,144160604.71280807,14914166.783014506,0.0020759816945261065
3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,3,0,0,4,0,0,2,0,0,3,0,0,4148823.846230882,0.0003428630527586576,149184888.60441038,7501799.759823023,0.0008297454464657105
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,0,0,0,2,0,0,14606536.42467061,0.0011054854330031642,139079512.31016386,19992023.877188608,0.0018672625962191337
5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0.0,0.0,65743821.745572075,64713385.43311347,0.008886022371123275
6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,2,0,0,2,0,0,993443.3354570458,8.255092237196361e-05,141387308.63808334,16946678.321940362,0.002350876464035023
7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,3,0,0,3,0,0,0.0,0.0,145281932.18989435,13920723.44755746,0.0019934307721541427
8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,1,0,0,2,0,0,7309565.06692923,0.0005884455909698156,145400312.61983013,12695052.519447226,0.001350222754185785
9,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,11696402.656455778,0.0008395490843973562,117701251.40356107,46011146.51277087,0.005581947652799832
10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,4,0,0,4,0,0,3,0,0,4,0,0,286403.17387373943,2.4715960006466154e-05,158847680.63342455,286403.17387373943,2.4715960006466154e-05
11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,3,0,0,2,0,0,0.0,0.0,142508636.1151696,15953234.986483317,0.0022683255416630593
12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,3,0,0,2,0,0,2,0,0,993443.3354570458,8.255092237196361e-05,139181961.54713827,23296828.566658597,0.00406715360585639
13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3332731.4136409853,0.00022808159061377524,0.0,305016736.4021878,0.045517409144001736
14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4863753.381255714,0.0003409987310670814,84460235.52207956,59071456.194581404,0.007837306600214549
15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0.0,0.0,148100868.99055162,9703126.158310378,0.00220315953552842
16,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,3,0,0,2,0,0,3,0,0,4148823.846230882,0.0003428630527586576,146979541.51346534,13851950.00454126,0.0025460225882870773
17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,3,0,0,2,0,0,2,0,0,0.0,0.0,134608667.82740456,25251329.20976664,0.003565414022176811
18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0.0,0.0,90781035.8317458,54207702.81332569,0.0074963078691474665
19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,3,0,0,1,0,0,2,0,0,2967841.1224142383,0.00023598813324527133,133597387.91754901,28219170.33218088,0.0038014021554220825
20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,6320800.309666242,301684004.98854685,0.04528932755338796
21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,3,0,0,3,0,0,2,0,0,0.0,0.0,140303289.02422458,22303385.23120155,0.0039846026834844265
