,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A4_Expected_Annual_Damage,A4_Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,3,0,0,7,0,0,5,0,0,9716806.700103411,0.0005344196264237,183472969.16763628,14713898.28748722,0.0010199355617198
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8411318.066430418,0.0003607235155978,51986701.01654134,790369611.7705535,0.0672031907592134
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,3,0,0,9,0,0,6,0,0,0.0,0.0,198222740.97152036,0.0,0.0
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,7,0,0,3,0,0,2053413.8079267384,0.0001109148896159,146314786.40899482,97916665.646451,0.0155248031134552
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,0,0,7,0,0,2,0,0,0.0,0.0,152273374.59395158,90017599.62038939,0.0086468252234751
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,3,0,0,8,0,0,5,0,0,2823674.186871359,0.0001605378057256,185320234.12829792,7820765.774255167,0.0006460537410217
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,6,0,0,1,0,0,0.0,0.0,122733593.41082592,188689965.055022,0.0176106818668101
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,3,0,0,8,0,0,5,0,0,2888780.474585266,0.0001661532479188,192590580.95914173,2888780.474585266,0.0001661532479188
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,3,0,0,4,0,0,0,0,0,97487719.31453636,0.0044408791233793,135594836.39864203,146582283.4295987,0.0088806763658204
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,0,0,2,0,0,0.0,0.0,131974086.96663088,109892960.30728877,0.0121430101617352
