,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A4_Expected_Annual_Damage,A4_Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,3,0,0,5,0,0,2,0,0,0.0,0.0,148938104.01848936,9577068.659729654,0.0011254125070933
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0.0,0.0,79216007.27502938,82207376.50321594,0.0126068407486365
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0.0,0.0,81084537.84651245,51111937.78945777,0.0058066758638424
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0,0.0,58916719.6477087,122431775.437734,0.021315799694495
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0.0,0.0,106121751.93268618,30969183.02615553,0.0035772405517753
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,3,0,0,6,0,0,2,0,0,0.0,0.0,155029084.05074677,0.0,0.0
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,3,0,0,5,0,0,2,0,0,965779.69380091,6.650860807508697e-05,153511397.73822314,965779.69380091,6.650860807508697e-05
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1711452.3756725625,0.0001086228179159,57543143.32361928,124143227.81340656,0.0214244225124109
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1711452.3756725625,0.0001086228179159,79710961.52242304,52823390.16513033,0.0059152986817583
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,2,0,0,0,0,0,56073278.003877066,0.0031615210209951,75479315.8082967,118137899.74379078,0.0135389264575646
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,79318597.95722698,0.0043914300947368,74468035.89844117,141383219.6971407,0.0147688355313063
11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0.0,0.0,33236589.885058213,3017230387.190744,0.2393586220827664
12,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,5,0,0,1,0,0,0.0,0.0,134953221.3612031,20959954.08786216,0.0024083471104659
