,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A4Expected_Annual_Damage,A4Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,4,0,0,4,0,0,5,0,0,0.0,0.0,223484569.78941894,0.0,0.0
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,3,0,0,2,0,0,4,0,0,5720289.051793149,0.00028504195112326206,192195185.68598652,42761596.010912955,0.004257021645202991
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,2,0,0,2,0,0,0.0,0.0,161672726.47037676,159165888.94358122,0.022114588998511386
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,3,0,0,3,0,0,4,0,0,1716504.145423073,8.77578220670167e-05,193316513.16307276,38757811.104542874,0.004059737516146745
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,2,0,0,2,0,0,0.0,0.0,154927919.8142395,165411181.81445038,0.02252181445309517
5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,4,0,0,4,0,0,5,0,0,0.0,0.0,216739763.13328165,6245292.870869164,0.0005090318182297284
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,4,0,0,2,0,0,4,0,0,5720289.051793149,0.00028504195112326206,194400532.77693155,31833921.54535596,0.002444359404638508
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,1,0,0,2,0,0,2,0,0,1513397.6759876874,7.157694537050172e-05,175227207.44156018,102018884.07875966,0.011318145522665544
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,3,0,0,4,0,0,4,0,0,0.0,0.0,194558300.8286298,37041306.959119804,0.003971979694079728
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,0,0,0,2,0,0,2,0,0,0.0,0.0,162198266.64508328,139890424.72967595,0.020626419581450478
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0.0,0.0,87871536.46427907,1401842245.7026925,0.1058828940961191
11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0.0,0.0,147281639.39501837,179255421.31118453,0.017696732022661785
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,144740623.51353687,194512939.4827254,0.018926911106781547
13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0,4,0,0,3,0,0,4,0,0,2237900.84457105,0.00011484545718598055,203483821.09404805,15953359.929657377,0.001187596208340246
14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,1,0,0,2,0,0,6993070.195739839,0.0003171668232553363,153916639.90438396,172404252.01019022,0.022838981276350506
