,A0_ID_flood_wave_shape,A1_Bmax,A1_Brate,A1_pfail,A2_Bmax,A2_Brate,A2_pfail,A3_Bmax,A3_Brate,A3_pfail,A4_Bmax,A4_Brate,A4_pfail,A5_Bmax,A5_Brate,A5_pfail,discount_rate_0,discount_rate_1,discount_rate_2,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,scenario,policy,model,A1_Expected_Annual_Damage,A1_Expected_Number_of_Deaths,A2_Expected_Annual_Damage,A2_Expected_Number_of_Deaths,A3_Expected_Annual_Damage,A3_Expected_Number_of_Deaths,A4_Expected_Annual_Damage,A4_Expected_Number_of_Deaths,A5_Expected_Annual_Damage,A5_Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
71789,98,245.492588609016,1.5,0.730879402268171,103.700541313543,1.5,0.81114410196984,212.6668047705982,1.5,0.9666176442193446,51.327440569991865,10.0,0.0448722516675437,285.4280603822057,1.0,0.9126695934287196,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71789,Base Case,dikesnet,45437586.38084295,0.0247518898925974,31719561.54128624,0.0233685041989898,23046395.632287804,0.0318157700238599,241214179.45784864,0.0757779686608333,0.0,0.0,0.0,341417723.0122656,0.1557141327762806
71139,23,262.55487517198384,10.0,0.9691021190972596,280.37706740760154,10.0,0.5269790118133377,187.57034052508348,1.0,0.6961041243775484,64.72611358663116,10.0,0.0202942993603448,266.13747564641443,10.0,0.5395086015445141,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71139,Base Case,dikesnet,0.0,0.0,134137539.61576952,0.0949292037758913,34697103.33280679,0.0467981998434648,240989029.2998789,0.0745365003800995,0.0,0.0,0.0,409823672.2484552,0.2162639039994557
11550,60,275.7083511274357,1.0,0.5723167389220087,265.6935113762034,1.5,0.4200249114026905,121.9473342911636,10.0,0.7595969514630643,272.0236782439896,1.5,0.0177493557425392,204.10937110262972,10.0,0.1975449953438237,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11550,Base Case,dikesnet,182234259.2696136,0.0973331283461705,133081655.74713604,0.0934525766375456,0.0,0.0,234462604.0414085,0.0716540382435597,0.0,0.0,0.0,549778519.0581582,0.262439743227276
23082,40,62.46673928688051,1.5,0.8805974838223221,136.376758517545,1.5,0.4613433576495704,142.6232480908825,10.0,0.6750621619574325,203.20205516667104,10.0,0.0288644944099322,153.93933386363273,10.0,0.6455264922694333,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23082,Base Case,dikesnet,0.0,0.0,133681579.8370341,0.0942915554480063,32290269.44955599,0.0436966444346159,231952338.69987872,0.0707472944474905,0.0,0.0,0.0,397924187.9864688,0.2087354943301129
98457,27,262.0628616671256,10.0,0.5630938529628666,193.4508562528665,10.0,0.6749114179176626,273.47346531865014,1.5,0.4967378218282802,291.80444926896155,1.0,0.0574526528184241,123.56743917626994,1.5,0.8161812939995711,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98457,Base Case,dikesnet,250814101.29642043,0.1331700952059278,52388156.19370411,0.0372594667371409,257635105.61322668,0.3456920633512519,229486220.88936085,0.0724203245479839,0.0,0.0,0.0,790323583.992712,0.5885419498423047
17202,81,68.67951486567426,1.0,0.7020870754519141,136.12816793214392,1.0,0.8087682344891579,305.39552117210013,1.5,0.4402291537283094,322.0393879431099,1.5,0.0171216907041121,284.5271691054359,1.0,0.834891980768556,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17202,Base Case,dikesnet,68002413.64072828,0.0399467360308924,29344583.204841822,0.0234383727694264,397732298.81808287,0.5747179269171576,227908012.0163703,0.0766456377008293,0.0,0.0,0.0,722987307.6800232,0.7147486734183058
64208,26,218.968244157944,1.0,0.9216698713428312,245.698303709498,10.0,0.5674920599636709,249.15128843512872,1.5,0.6412510492815856,310.28534622216466,1.0,0.01904640972941,214.5613039680545,1.0,0.4422386555949497,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64208,Base Case,dikesnet,0.0,0.0,74963845.90462989,0.0536719143320462,68355525.51899509,0.0919367027659579,227544881.6574542,0.0691093422558476,0.0,0.0,0.0,370864253.0810792,0.2147179593538518
7551,25,240.09076554402367,1.5,0.8096188709198476,49.95073842244732,10.0,0.8569035094416442,335.7844753272863,1.5,0.7810054272533646,264.0673298304349,1.0,0.0308628554050098,345.7359604132197,10.0,0.9736388275711844,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7551,Base Case,dikesnet,10512408.237464914,0.0057585331332721,31712736.50579539,0.0233589595578363,102319073.0744307,0.1397085145687795,226732196.41257632,0.0693172761612738,0.0,0.0,0.0,371276414.2302673,0.2381432834211617
10068,58,265.46122791806795,1.0,0.8499056148514859,349.9426396163423,1.5,0.6971897625958949,274.12300583914936,1.5,0.3914116218316136,125.3532294366967,1.5,0.0327990135366212,38.85111685161358,1.0,0.4557435984789649,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10068,Base Case,dikesnet,0.0,0.0,45622594.1519318,0.0333036222492921,557666274.1326691,0.7375897538944656,226718897.69017053,0.0685121401424704,0.0,0.0,0.0,830007765.9747714,0.8394055162862282
53722,14,210.4294659049974,10.0,0.9088619126619863,30.888563527170465,10.0,0.8064304620534769,60.67068141005582,1.5,0.7320102791069446,332.06857758134703,1.0,0.0404506414125914,152.5727720118838,10.0,0.5755692208819593,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53722,Base Case,dikesnet,0.0,0.0,29415283.26516542,0.0235454155080186,107711633.48367332,0.1591241901317858,225582018.82360065,0.0765242191971677,0.0,0.0,0.0,362708935.5724393,0.2591938248369722
