,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,105,84.74080292935722,10.0,0.34160742536068883,330.9153200617444,1.0,0.08143707208253526,99.9466011811213,1.5,0.19857394035697057,89.6141286494735,1.0,0.10159930113901919,161.88462185653734,1.5,0.2850756173587186,3.5,4.5,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 1,dikesnet
1,60,317.4087044545777,10.0,0.3570185125414564,70.974901946872,1.5,0.3836177769085286,156.31172219427603,10.0,0.48062986818431075,249.08631597723243,1.5,0.6217200716697353,66.22756022318073,1.0,0.8028562083086844,2.5,2.5,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,policy 1,dikesnet
2,59,41.49224845231055,10.0,0.482081651945952,283.9908250036376,10.0,0.73144091246057,159.97931295376725,1.5,0.9797807427268433,111.76162449777279,1.0,0.6331819274736583,205.84269645943613,10.0,0.4072831176738664,2.5,1.5,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,policy 1,dikesnet
3,36,76.2873527437784,1.0,0.5073643247981182,157.00668062268574,1.5,0.9095695861210897,181.33098565455452,1.5,0.5799879482395989,349.0692092412701,10.0,0.4623052247964738,40.29696832860163,1.0,0.8727924166946037,3.5,4.5,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,policy 1,dikesnet
4,121,189.9746016696171,1.0,0.5303363584623385,246.74383879966197,10.0,0.5189987543789147,330.86695277136977,1.5,0.7577219843131741,207.81723562689479,1.5,0.44548486382407076,261.53379272008806,10.0,0.8812574747551871,2.5,1.5,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,policy 1,dikesnet
5,32,118.54336284249274,1.5,0.6586847946018735,132.16702044901228,1.5,0.5675398613754772,204.71122549071933,10.0,0.3992492654328721,217.64198364859078,1.5,0.49546511726733844,55.22499052474861,10.0,0.22033018320506523,2.5,1.5,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,policy 1,dikesnet
6,52,335.8520616579853,1.0,0.1750421407767425,103.74911439238848,1.5,0.23479967528364049,177.3809290635939,1.0,0.12866998407436478,86.30773894347169,1.5,0.22964317132881504,52.56117413938107,10.0,0.4572643941133454,1.5,3.5,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,policy 1,dikesnet
7,25,141.65043486619265,1.0,0.32413900117106653,85.00840066038019,1.5,0.47209190152238645,98.36710360952937,1.0,0.239036073667258,68.30075835810881,1.0,0.4899962261787142,102.73257907125279,1.0,0.053418514033632486,1.5,4.5,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,policy 1,dikesnet
8,10,151.07810701202288,1.0,0.7186860940809277,106.68985762994018,10.0,0.7787316769345296,279.26104476572084,1.5,0.38593860881056613,276.4623333978895,1.0,0.33466236288079765,346.97675733404947,1.5,0.3715264137328073,1.5,2.5,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,policy 1,dikesnet
9,64,128.1632323398834,10.0,0.43938063976208785,252.84883420296592,1.0,0.5922270575517751,167.15614795747078,1.0,0.8991295726497444,323.5768484203195,10.0,0.788197979575812,297.59593506756335,1.0,0.08160891601517069,4.5,3.5,4.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,policy 1,dikesnet
