,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A4_Expected_Annual_Damage,A4_Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12628168.755498253,0.0006096230760311,12586457.998778109,51624173.70560847,0.0041665216526714
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,14261651.781499248,38996004.95011021,0.0035568985766403
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,75531784.31862903,0.0032396507371994,9695195.36216505,114527789.26873924,0.0067965493138397
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,23794907.28567133,0.0011103076844174,11068771.68625446,62790912.23578155,0.0046672062610577
4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2890642.3965984774,0.0001480943711438,69998865.86767298,26181912.878954325,0.0020031353991882
5,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0.0,0.0,135241031.92249656,5820400.441565354,0.0005045801300717
6,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0.0,0.0,71846130.82833463,23291270.482355848,0.0018550410280444
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0.0,0.0,34560939.408819936,34791041.85025135,0.0028639186967054
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0.0,0.0,46956552.87566118,31035878.238193683,0.0030405675561858
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,187381632.11753756,0.0075127346543533,6320800.309666242,226377637.06764776,0.0110696332309936
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231451242.0208078,0.0087903472355611,0.0,270447246.970918,0.0123472458122014
11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,124749756.93790472,0.0051947766222664,8453407.696608048,163745761.8880149,0.0087516751989067
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0.0,0.0,67255840.50298187,26830915.13833482,0.0023475876762509
13,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0.0,0.0,102546130.82833464,13780527.153481882,0.0010209111505261
14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,1,0,0,4782202.36863475,0.0002478521778742,97843275.44675772,18712207.24391755,0.0012938482303082
15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,13278324.070005618,0.0006614189789724,75704161.29759659,21238450.781922147,0.0011777499994268
16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,7,0,0,1,0,0,4801490.507821724,0.0002493888054507,102416569.16649146,12761617.21973825,0.0007657198259051
17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,8,0,0,1,0,0,0.0,0.0,132385441.5015813,5969878.163366276,0.0005296650319795
18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,1,0,0,0.0,0.0,99690540.40741935,13930004.875282802,0.0010459960524339
19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,8,0,0,2,0,0,0.0,0.0,106804850.00863464,7960126.711916527,0.0005163310204544
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,7,0,0,1,0,0,4814204.007664749,0.0002504016514418,135111470.2606534,4814204.007664749,0.0002504016514418
21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,8,0,0,2,0,0,0.0,0.0,139499751.10279655,0.0,0.0
