,EWS_DaysToThreat,rfr_0_t0,rfr_0_t1,rfr_0_t2,rfr_1_t0,rfr_1_t1,rfr_1_t2,rfr_2_t0,rfr_2_t1,rfr_2_t2,rfr_3_t0,rfr_3_t1,rfr_3_t2,rfr_4_t0,rfr_4_t1,rfr_4_t2,A1_DikeIncrease_t0,A1_DikeIncrease_t1,A1_DikeIncrease_t2,A2_DikeIncrease_t0,A2_DikeIncrease_t1,A2_DikeIncrease_t2,A3_DikeIncrease_t0,A3_DikeIncrease_t1,A3_DikeIncrease_t2,A4_DikeIncrease_t0,A4_DikeIncrease_t1,A4_DikeIncrease_t2,A5_DikeIncrease_t0,A5_DikeIncrease_t1,A5_DikeIncrease_t2,A4_Expected_Annual_Damage,A4_Expected_Number_of_Deaths,Total_Infrastructure_Costs,Total_Expected_Annual_Damage,Total_Expected_Number_of_Deaths
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,6,0,0,2,0,0,0.0,0.0,105150921.8367349,11085740.29653468,0.001379740013922349
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,6,0,0,2,0,0,0.0,0.0,107181136.08929253,10167352.113617308,0.0011792902696825024
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,2,0,0,144484.24400274828,9.734313505362918e-06,112205419.98089483,9657476.810436066,0.0010580907857636916
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,5,0,0,2,0,0,2913721.772131365,0.0001906087815691342,108657519.41581355,3832109.9550487353,0.0003910585258089808
4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,6,0,0,3,0,0,0.0,0.0,112948501.80306193,918388.1829173707,0.00020044974423984662
5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,0,0,3,0,0,0.0,0.0,116653909.83834073,0.0,0.0
6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,5,0,0,2,0,0,1070730.363977109,6.951530067113174e-05,103633235.52421126,12156470.660511788,0.0014492553145934806
7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,2,0,0,1070730.363977109,6.951530067113174e-05,86489701.21700981,35004034.855609305,0.00740029106271863
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,0,0,2,0,0,2921134.361908102,0.00019138765037866306,110687733.66837119,2921134.361908102,0.00019138765037866306
9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,2,0,0,0.0,0.0,88007387.52953345,35085495.927035265,0.007457400370921288
10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,3,0,0,144484.24400274828,9.734313505362918e-06,114978716.05561957,144484.24400274828,9.734313505362918e-06
11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0.0,0.0,33236589.885058213,46046273.284660205,0.0051777266484907165
12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,84709488.93522511,0.004376754710004163,22167818.198803753,130755762.21988532,0.00955448135849488
13,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,5790023.930641307,0.0003526642809691471,85731697.07565947,31065457.227196813,0.0031987126750930095
14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,0,0,1,0,0,1070730.363977109,6.951530067113174e-05,96518925.922996,19771240.959216572,0.0023152014698247874
15,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1070730.363977109,6.951530067113174e-05,66805985.772428185,45320136.79981534,0.0069720928646419015
16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,0,28508972.996243566,0.0016176315704303679,80494139.71106954,35899177.827008426,0.0024180834971216695
17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,4,0,0,1,0,0,8084532.704544783,0.0005012289123020955,104742927.21024263,9002920.887462154,0.0007016786565419421
18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,1,0,0,7813542.270087214,0.0004727549236642695,82575109.01143888,41746846.761719406,0.007803530685711767
19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,1,0,0,0.0,0.0,80442087.75644964,44100656.6052495,0.00851006603173
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.0,0.0,11068771.68625446,72743458.93960524,0.010931133973085176
21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3637633.136914815,0.00022126153718333126,9695195.36216505,76381092.07652006,0.011152395510268507
22,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0.0,0.0,68323672.08495183,44249406.43583823,0.006902577563970769
23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,0,0,1,0,0,8091945.29432152,0.0005020077811116243,106773141.46280026,8091945.29432152,0.0005020077811116243
24,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,1070730.363977109,6.951530067113174e-05,87105273.39974888,26346163.660532612,0.002915563694794994
25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,0,0,0,0,28501560.406466834,0.001616852701620839,78463925.4585119,36810153.42014907,0.002617754372551987
26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,6,0,0,1,0,0,0.0,0.0,98036612.23551965,18700510.595239464,0.0022456861691536557
27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,3637633.136914815,0.00022126153718333126,29994482.98948574,61774858.54857481,0.00801425253414496
28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,66733182.4907066,0.003530150163018816,28488618.508469995,112779455.77536681,0.008707876811509533
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,3637633.136914815,0.00022126153718333126,31863013.5609688,49683906.42157502,0.005398988185674048
30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,26893267.822379895,0.0014908537077958505,28752695.323928736,85030493.2340399,0.00928384470475748
31,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0.0,0.0,88622959.71227252,25275433.296555504,0.0028460483941238623
32,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0.0,0.0,99023672.08495183,17328340.021025743,0.0019447980606775617
33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0.0,0.0,31368059.31357515,58137225.41166,0.007792990996961629
34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66733182.4907066,0.003530150163018816,6320800.309666242,139476641.43031183,0.014461284136103992
35,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1070730.363977109,6.951530067113174e-05,97505985.77242818,18399070.38500285,0.0020143133613486934
36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,47143239.402864754,0.002547392317032463,7332080.219521779,119886698.34246999,0.01347852629011764
37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,3,0,1,0,0,0,19525467.93509222,0.001244978105181258,85455080.82744047,41482164.16249801,0.003364103599203184
38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,26893267.822379895,0.0014908537077958505,8453407.696608048,99636726.76198512,0.012421987680881026
39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84709488.93522511,0.004376754710004163,0.0,157452947.87483037,0.015307888683089339
